Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background,label
16,92,0,0,0,0,0,0,0,0,0,20,64,16,76,24,40,88,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,16,68,84,64,88,0,unknow
0,0,0,0,0,0,0,0,76,32,0,52,68,16,68,84,0,0,24,unknow
0,0,0,0,0,0,0,0,56,92,0,0,64,16,68,84,0,0,24,unknow
0,0,0,0,0,0,0,0,56,92,0,48,64,16,80,16,0,0,0,unknow
0,0,76,76,0,0,0,0,0,0,0,52,64,20,68,20,40,92,0,unknow
0,0,72,76,0,0,0,0,0,0,0,48,64,16,72,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,20,68,28,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,56,60,16,64,20,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,20,64,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,48,64,16,64,20,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,56,64,16,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,56,60,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,56,60,20,40,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,48,64,20,72,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,56,60,20,40,24,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,16,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,84,4,0,48,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,84,4,0,56,64,16,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,60,20,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,72,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,60,20,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,64,16,76,72,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,76,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,76,24,0,0,0,unknow
